1970-01-01 01:00:13.396,238096,202484
1970-01-01 01:00:13.446,238127,202514
1970-01-01 01:00:13.496,238152,202545
1970-01-01 01:00:13.546,238251,202566
1970-01-01 01:00:13.596,238371,202617
1970-01-01 01:00:13.646,238368,202614
1970-01-01 01:00:13.696,237788,202393
1970-01-01 01:00:13.746,237541,202340
1970-01-01 01:00:13.796,237572,202315
1970-01-01 01:00:13.846,237558,202304
1970-01-01 01:00:13.896,237626,202388
1970-01-01 01:00:13.946,237673,202404
1970-01-01 01:00:13.996,237656,202387
1970-01-01 01:00:14.046,237699,202399
1970-01-01 01:00:14.096,237790,202430
1970-01-01 01:00:14.146,237743,202350
1970-01-01 01:00:14.196,237749,202307
1970-01-01 01:00:14.246,237729,202342
1970-01-01 01:00:14.296,237778,202306
1970-01-01 01:00:14.346,237764,202473
1970-01-01 01:00:14.396,237254,202368
1970-01-01 01:00:14.446,237066,202367
1970-01-01 01:00:14.496,237147,202451
1970-01-01 01:00:14.546,237090,202440
1970-01-01 01:00:14.596,237202,202492
1970-01-01 01:00:14.646,237166,202457
1970-01-01 01:00:14.696,237077,202375
1970-01-01 01:00:14.746,237149,202379
1970-01-01 01:00:14.796,237483,202582
1970-01-01 01:00:14.846,237751,202736
1970-01-01 01:00:14.896,237815,202734
1970-01-01 01:00:14.946,238266,203161
1970-01-01 01:00:14.996,238450,203236
1970-01-01 01:00:15.046,238267,203182
1970-01-01 01:00:15.096,238163,203084
1970-01-01 01:00:15.146,237446,202828
1970-01-01 01:00:15.196,236580,202440
1970-01-01 01:00:15.246,236305,202372
1970-01-01 01:00:15.296,236132,202279
1970-01-01 01:00:15.346,236078,202225
1970-01-01 01:00:15.396,236215,202313
1970-01-01 01:00:15.446,236303,202440
1970-01-01 01:00:15.496,236305,202449
1970-01-01 01:00:15.546,236351,202419
1970-01-01 01:00:15.596,236350,202379
1970-01-01 01:00:15.646,236252,202306
1970-01-01 01:00:15.696,236317,202259
1970-01-01 01:00:15.746,236288,202231
1970-01-01 01:00:15.796,236438,202267
1970-01-01 01:00:15.846,236632,202436
1970-01-01 01:00:15.896,236706,202427
1970-01-01 01:00:15.946,236389,202240
1970-01-01 01:00:15.996,235655,201968
1970-01-01 01:00:16.046,235490,201916
1970-01-01 01:00:16.096,235908,202185
1970-01-01 01:00:16.146,236495,202463
1970-01-01 01:00:16.196,236319,202343
1970-01-01 01:00:16.246,236259,202229
1970-01-01 01:00:16.296,236215,202260
1970-01-01 01:00:16.346,236217,202267
1970-01-01 01:00:16.396,236334,202338
1970-01-01 01:00:16.446,236453,202391
1970-01-01 01:00:16.496,236694,202518
1970-01-01 01:00:16.546,236746,202534
1970-01-01 01:00:16.596,236714,202439
1970-01-01 01:00:16.646,236713,202378
1970-01-01 01:00:16.696,236376,202218
1970-01-01 01:00:16.746,235871,202093
1970-01-01 01:00:16.796,235854,202128
1970-01-01 01:00:16.846,235960,202135
1970-01-01 01:00:16.896,236155,202276
1970-01-01 01:00:16.946,236443,202395
1970-01-01 01:00:16.996,236501,202383
1970-01-01 01:00:17.046,236557,202398
1970-01-01 01:00:17.096,236732,202406
1970-01-01 01:00:17.146,236800,202443
1970-01-01 01:00:17.196,237035,202546
1970-01-01 01:00:17.246,237143,202592
1970-01-01 01:00:17.296,237423,202782
1970-01-01 01:00:17.346,237760,202970
1970-01-01 01:00:17.396,237474,202770
1970-01-01 01:00:17.446,236852,202541
1970-01-01 01:00:17.496,236450,202313
1970-01-01 01:00:17.546,236507,202352
1970-01-01 01:00:17.596,236844,202564
1970-01-01 01:00:17.646,237099,202750
1970-01-01 01:00:17.696,237013,202711
1970-01-01 01:00:17.746,236874,202626
1970-01-01 01:00:17.796,236707,202517
1970-01-01 01:00:17.846,236818,202561
1970-01-01 01:00:17.896,236937,202587
1970-01-01 01:00:17.946,237037,202599
1970-01-01 01:00:17.996,237064,202567
1970-01-01 01:00:18.046,237101,202598
1970-01-01 01:00:18.096,236911,202540
1970-01-01 01:00:18.146,236308,202330
1970-01-01 01:00:18.196,235991,202228
1970-01-01 01:00:18.246,235983,202201
1970-01-01 01:00:18.296,236096,202212
1970-01-01 01:00:18.346,236204,202191
1970-01-01 01:00:18.396,236298,202216
1970-01-01 01:00:18.446,236267,202185
1970-01-01 01:00:18.496,236240,202239
1970-01-01 01:00:18.546,236304,202272
1970-01-01 01:00:18.596,236383,202307
1970-01-01 01:00:18.646,236419,202270
1970-01-01 01:00:18.696,236554,202309
1970-01-01 01:00:18.746,236703,202304
1970-01-01 01:00:18.796,236759,202355
1970-01-01 01:00:18.846,236409,202215
1970-01-01 01:00:18.896,236135,202126
1970-01-01 01:00:18.946,236243,202185
1970-01-01 01:00:18.996,236324,202160
1970-01-01 01:00:19.046,236447,202262
1970-01-01 01:00:19.096,236480,202249
1970-01-01 01:00:19.146,236487,202378
1970-01-01 01:00:19.196,236597,202400
1970-01-01 01:00:19.246,236618,202382
1970-01-01 01:00:19.296,236674,202383
1970-01-01 01:00:19.346,236712,202351
1970-01-01 01:00:19.396,236641,202204
1970-01-01 01:00:19.446,236685,202230
1970-01-01 01:00:19.496,236649,202228
1970-01-01 01:00:19.546,235992,201934
1970-01-01 01:00:19.596,235469,201806
1970-01-01 01:00:19.646,235466,201767
1970-01-01 01:00:19.696,235532,201766
1970-01-01 01:00:19.746,235537,201747
1970-01-01 01:00:19.796,235537,201746
1970-01-01 01:00:19.846,235622,201867
1970-01-01 01:00:19.896,235766,201920
1970-01-01 01:00:19.946,235948,202008
1970-01-01 01:00:19.996,236102,202118
1970-01-01 01:00:20.046,236279,202194
1970-01-01 01:00:20.096,236351,202200
1970-01-01 01:00:20.146,236401,202181
