0,0,18:23.537661
0,0,18:23.558047
0,0,18:23.578046
0,0,18:23.597997
0,0,18:23.618091
0,0,18:23.638116
0,0,18:23.658013
0,0,18:23.677963
0,0,18:23.697836
8,0,18:23.717740
0,0,18:23.737872
0,0,18:23.757747
16,0,18:23.777737
0,0,18:23.797755
0,8,18:23.817776
0,0,18:23.837948
0,0,18:23.858059
0,0,18:23.878050
0,0,18:23.898082
0,0,18:23.918009
0,0,18:23.938215
16,0,18:23.958169
0,0,18:23.978148
0,0,18:23.998240
0,0,18:24.018131
0,0,18:24.038252
0,0,18:24.058042
8,0,18:24.078017
0,0,18:24.097882
8,0,18:24.117837
0,0,18:24.138384
0,0,18:24.158151
0,0,18:24.177943
0,0,18:24.197958
0,0,18:24.218014
0,0,18:24.238124
0,0,18:24.257982
0,0,18:24.277967
0,0,18:24.298128
0,0,18:24.317936
0,0,18:24.338122
0,0,18:24.358197
0,0,18:24.378312
0,0,18:24.398700
0,0,18:24.418117
0,0,18:24.438590
0,0,18:24.457986
0,0,18:24.477851
0,0,18:24.497916
0,0,18:24.517841
8,0,18:24.538603
8,0,18:24.558056
0,0,18:24.578013
0,0,18:24.597996
0,8,18:24.618127
8,0,18:24.639234
0,0,18:24.658408
0,0,18:24.678213
0,0,18:24.698144
0,0,18:24.718057
8,0,18:24.738330
0,0,18:24.757905
0,0,18:24.777950
0,0,18:24.797943
0,0,18:24.817984
0,0,18:24.838423
0,0,18:24.858231
0,8,18:24.879487
0,0,18:24.898359
0,0,18:24.918200
24,0,18:24.938368
16,0,18:24.957970
0,0,18:24.977875
0,0,18:24.997946
0,0,18:25.017884
0,0,18:25.038219
0,0,18:25.058201
0,16,18:25.078243
0,0,18:25.098231
0,0,18:25.118224
0,0,18:25.138266
0,0,18:25.157976
0,0,18:25.177851
0,0,18:25.197831
0,0,18:25.217811
0,0,18:25.237865
0,0,18:25.258313
0,0,18:25.278176
0,0,18:25.298089
0,0,18:25.317992
8,0,18:25.338165
0,0,18:25.358138
